Species,Genome Size (bp)
Vibrio parahaemolyticus BB22OP,5103524
Salmonella enterica subsp. enterica serovar Saintpaul,5103835
Microcystis aeruginosa PCC 7806,5103923
Pantoea sp. SO10,5104503
Pseudomonas laurentiana,5105050
Ruania zhangjianzhongii,5105677
Salmonella enterica subsp. enterica serovar Typhi,5106017
Flavobacterium sp. N1736,5106030
Flavobacterium sp. TR2,5106313
[Mycobacterium] chelonae subsp. gwanakae,5106636
Bacteroides eggerthii,5106652
Hymenobacter sp. HDW8,5107029
Escherichia coli UM146,5107563
Vibrio atlanticus,5107681
Clostridium saccharobutylicum DSM 13864,5107814
Dickeya sp. Secpp 1600,5108113
Clostridium saccharobutylicum,5108304
Escherichia coli IHE3034,5108383
Gordonia otitidis,5108829
Methylobacterium bullatum,5109055
Escherichia coli O2:H6,5109630
Vibrio navarrensis,5109806
Citrobacter amalonaticus,5109913
Xanthomonas campestris pv. incanae,5110327
Comamonas sp. PR12,5111300
Xanthomonas campestris pv. campestris str. CN03,5111737
Dongshaea marina,5112152
Arthrobacter sp. MMS18-M83,5112324
Sphingobium sp. JS3065,5112546
Citrobacter sp. RHBSTW-00021,5112680
Arthrobacter sp. FW305-BF8,5113695
Serratia marcescens subsp. marcescens Db11,5113802
Zobellia laminariae,5114553
Salmonella enterica subsp. enterica serovar Senftenberg str. 361154004,5114779
Xanthomonas campestris pv. campestris str. CN15,5114892
Xanthomonas campestris pv. campestris str. CN12,5115137
Pelosinus sp. UFO1,5115410
Stappia indica,5116759
Chromobacterium sp. IIBBL 290-4,5117379
Serratia surfactantfaciens,5117644
Lacibacter sediminis,5119652
Mycobacteroides abscessus subsp. massiliense,5119772
Hoeflea sp. IMCC20628,5119813
Nocardioides anomalus,5120341
Xanthomonas euvesicatoria pv. alfalfae,5120436
Bacteroides finegoldii,5120579
Escherichia sp. E4742,5120753
Citrobacter gillenii,5121064
Microlunatus elymi,5121194
Salmonella enterica subsp. enterica serovar Newport str. CVM 22462,5121199
Arthrobacter sp. D5-1,5121291
Pseudosulfitobacter pseudonitzschiae,5121602
Xanthomonas campestris pv. campestris str. CN17,5122268
uncultured Shewanella sp.,5122536
Lysinibacillus sp. JNUCC-51,5122675
Serratia marcescens SMB2099,5123091
Escherichia coli O25:H1,5124020
Chryseobacterium sp. SG20098,5125090
Chryseobacterium sp. CP-77,5125303
Leclercia sp. W17,5125645
[Leptolyngbya] sp. PCC 7376,5125950
Escherichia coli APEC IMT5155,5126057
Vibrio gallaecicus,5126655
Vibrio vulnificus CMCP6,5126696
Methylomonas sp. DH-1,5127407
Xylophilus sp. GOD-11R,5127500
Zunongwangia profunda SM-A87,5128187
Salmonella enterica subsp. enterica serovar Weltevreden str. 1655,5129059
Serratia sp. LS-1,5129267
Xanthomonas citri pv. viticola,5129352
Shewanella sp. Scap07,5129640
Leptospira weilii,5129811
Escherichia coli O128ac:H12,5130057
Salmonella enterica subsp. enterica serovar Muenster,5130233
Escherichia coli O128:H27,5130625
Escherichia coli O113:H21,5131000
Shewanella oneidensis MR-1,5131424
Escherichia coli IAI39,5132068
Draconibacterium orientale,5132075
Escherichia coli O111:NM,5132754
Kosakonia oryzendophytica,5132919
Escherichia coli ABU 83972,5132961
Agrobacterium vaccinii,5133638
Salmonella enterica subsp. enterica serovar Typhi str. CT18,5133713
Rouxiella badensis subsp. acadiensis,5135448
Escherichia coli O68:H12,5135698
Geotalea uraniireducens Rf4,5136364
Pectobacterium brasiliense,5137126
Salmonella enterica subsp. enterica serovar Albert,5137156
Leisingera sp. NJS201,5137756
Sediminicoccus rosea,5138361
Paraconexibacter antarcticus,5138448
Vibrio parahaemolyticus O1:K33 str. CDC_K4557,5138575
Chromobacterium sp. ATCC 53434,5138981
Microcystis aeruginosa PCC 7806SL,5139339
Escherichia coli O2:H1,5139616
Salmonella enterica subsp. enterica serovar Newport,5139764
Pseudomonas sp. KHPS1,5141614
Rhizobium rosettiformans,5141700
Leisingera sp. M527,5142735
Citrobacter sp. S40-1-2,5143213
Citrobacter sp. H12-3-2,5143213
Enterobacter sp. JJBC,5143310
Salmonella enterica subsp. enterica serovar Derby,5144041
Vibrio parahaemolyticus 10329,5144090
Rhizobium daejeonense,5144152
Caldilinea aerophila DSM 14535 = NBRC 104270,5144873
Escherichia coli O114:H49,5145656
Mycobacterium avium subsp. hominissuis TH135,5145928
Vibrio alginolyticus NBRC 15630 = ATCC 17749,5146637
Photorhabdus thracensis,5147098
Serratia entomophila,5147822
Xanthomonas campestris pv. campestris str. 8004,5148708
Sphingobium sp. RSMS,5148753
Escherichia coli TW14425,5149615
Pseudomonas versuta,5149788
Xanthomonas oryzae pv. oryzae,5150745
Bacillus sp. ABP14,5152566
Neobacillus sp. OS1-33,5153056
Brevibacillus laterosporus LMG 15441,5153859
Pantoea sp. SOD02,5153871
Escherichia coli 55989,5154862
Enterobacter sp. R4-368,5155034
"Salmonella enterica subsp. salamae serovar 56:b:[1,5]",5155401
Escherichia coli SE11,5155626
Escherichia coli PCN033,5156873
Escherichia coli 1303,5156928
Salmonella sp. SA15303,5157095
Kluyvera sp. CRP,5157963
Brevibacillus sp. FSL K6-6036,5158131
Salmonella enterica subsp. enterica serovar Kentucky,5159194
Sodalis praecaptivus,5159425
Pantoea sp. CCBC3-3-1,5159767
Pantoea stewartii subsp. indologenes,5160368
Serratia sp. K-E0102,5160726
Arthrobacter sp. CDRTa11,5161232
Serratia marcescens subsp. marcescens ATCC 13880,5161789
Halosimplex aquaticum,5163082
Citrobacter sp. 172116965,5163174
Phocaeicola vulgatus ATCC 8482,5163189
Bordetella genomosp. 6,5163295
Acuticoccus sp. MNP-M23,5164601
Yersinia massiliensis,5164900
Vibrio parahaemolyticus RIMD 2210633,5165770
Rhizobium sp. SL42,5166003
Escherichia coli S88,5166121
Klebsiella pneumoniae CG43,5166857
Diaphorobacter ruginosibacter,5167372
Pedobacter heparinus DSM 2366,5167383
Oceanobacillus jeddahense,5167912
Photobacterium sp. CCB-ST2H9,5168138
Natronococcus sp. AD-5,5168305
Halomonas sp. KO116,5168360
Pantoea sp. BRR-3P,5168638
Erwinia sp. E602,5168686
Aureibaculum algae,5168958
Paenibacillus albicereus,5168992
Paucibacter sp. KCTC 42545,5169161
Xanthomonas sp. 10-10,5169345
Pseudarthrobacter psychrotolerans,5170670
Sphingobacterium oryzagri,5170823
Nocardioides sp. WS12,5171066
Arthrobacter sp. NicSoilB8,5171632
Niveibacterium sp. SC-1,5171880
Mycobacterium sp. IDR2000157661,5171893
Methylomonas denitrificans,5172098
Rhodoferax sp. AJA081-3,5173062
"Salmonella enterica subsp. diarizonae serovar 60:r:e,n,x,z15",5173570
Xanthomonas arboricola pv. pruni,5173682
Roseomonas sp. FDAARGOS_362,5174209
Shewanella pealeana ATCC 700345,5174581
Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,5175153
Citrobacter sp. RHBSTW-00944,5175883
Kosakonia arachidis,5176406
Klebsiella sp. PCX,5176451
Klebsiella sp. WP8-S18-ESBL-06,5176749
Sulfitobacter sp. SK012,5176795
Xanthomonas campestris,5177110
Emticicia sp. 21SJ11W-3,5177490
Pseudoalteromonas sp. SCSIO 43201,5177910
Vibrio campbellii CAIM 519 = NBRC 15631 = ATCC 25920,5178103
Saccharophagus degradans,5178381
Gemmatimonas groenlandica,5179092
Escherichia coli UTI89,5179971
Vibrio sp. sp1,5180039
Citrobacter sp. TSA-1,5182653
Peribacillus sp. FSL E2-0218,5182658
Jejubacter calystegiae,5182800
Salinispora tropica CNB-440,5183331
Methylosinus trichosporium OB3b,5183433
Chryseobacterium rhizoplanae,5183727
Gordonia jinghuaiqii,5184113
Xanthomonas sp. SS,5185085
Ralstonia syzygii subsp. celebesensis,5185188
Collimonas fungivorans Ter331,5186898
Escherichia coli H20,5186956
Paraglaciecola sp. T6c,5187005
Escherichia coli O20:H12,5190756
Aeromonas salmonicida subsp. masoucida,5191207
Marinobacterium aestuarii,5191608
Escherichia coli O158:H23,5191720
Neobacillus sp. PS2-9,5192194
Azotobacter chroococcum NCIMB 8003,5192286
Vibrio spartinae,5192394
Gordonia amicalis,5192419
Escherichia coli O2:K1:H4,5192840
Teredinibacter turnerae T7901,5193164
Citrobacter europaeus,5194170
Enterobacter cancerogenus,5194378
Kosakonia sp. SMBL-WEM22,5194957
Sphingobacterium sp. PCS056,5195665
Shigella flexneri 4c,5196066
Escherichia coli VR50,5196066
"Salmonella enterica subsp. diarizonae serovar b,50:-:-",5196399
Enterobacter sp. CRENT-193,5196641
Acidovorax sp. KKS102,5196935
Salmonella enterica subsp. enterica serovar Dublin,5197359
Sphingomonas alpina,5197460
Desulfobacula toluolica Tol2,5197905
Aeromonas veronii,5198147
Halosimplex pelagicum,5199031
Shewanella baltica BA175,5199401
Methylomagnum ishizawai,5199498
Paenibacillus naphthalenovorans,5200139
Escherichia marmotae,5200167
Xanthomonas phaseoli pv. manihotis,5200720
Enterobacter cloacae complex sp. ECL414,5201118
Solitalea canadensis DSM 3403,5202069
Sphingopyxis fribergensis,5202172
Escherichia coli ATCC 25922,5203440
Shewanella algae,5203444
Pseudomonas promysalinigenes,5203533
Pantoea sp. SS70,5203739
Xanthomonas oryzae,5204179
Gordonia sp. 135,5204790
Citrobacter sp. RHBSTW-00535,5205027
Brucella anthropi ATCC 49188,5205777
Aliamphritea hakodatensis,5208344
Pseudomonas parafulva,5208480
Clostridium felsineum,5208606
Salmonella enterica subsp. enterica serovar Indiana,5208656
Dickeya dadantii,5208659
Marinobacterium rhizophilum,5208773
Sphingomonas bisphenolicum,5209012
Serratia ficaria,5209973
Vibrio sp. JC009,5210079
Vibrio sp. VB16,5210103
Yersinia pseudotuberculosis,5210829
Aureimonas sp. AU20,5210858
Escherichia coli PMV-1,5210927
Escherichia coli O150:H6,5211045
Pseudosulfitobacter sp. DSM 107133,5211890
Baekduia soli,5212251
Parabacteroides distasonis ATCC 8503,5212259
Escherichia coli O157:H16,5213098
Aliamphritea ceti,5213210
Salmonella enterica subsp. enterica serovar Typhimurium var. 5-,5213839
Planctopirus ephydatiae,5214061
Escherichia coli SMS-3-5,5215377
Providencia sp. PROV040,5215837
Comamonas koreensis,5217190
Escherichia coli O19:H7,5217997
Alteromonas macleodii,5218117
Enterobacter chengduensis,5218125
Salmonella enterica subsp. enterica serovar Anatum,5218507
Buttiauxella selenatireducens,5218828
Bacillus arachidis,5218944
Yokenella regensburgei,5219152
Acidovorax sp. DW039,5219685
Paenibacillus sp. FSL R7-0216,5219956
"Salmonella enterica subsp. enterica serovar 4,[5],12:-",5220226
Emticicia oligotrophica DSM 17448,5220361
Bosea sp. (in: a-proteobacteria),5220396
Shigella sonnei 53G,5220473
Dolichospermum flos-aquae CCAP 1403/13F,5220684
Pseudomonas sp. KNUC1026,5221221
Escherichia coli O169:H41,5222299
Xanthomonas citri subsp. citri UI6,5222433
Vibrio parahaemolyticus O1:Kuk str. FDA_R31,5223562
Bacteroides fragilis CL03T12C07,5224217
Mycolicibacterium sp. MU0050,5224726
Ancylobacter polymorphus,5225369
Enterobacter sp. MGH 3,5226758
Shewanella halifaxensis HAW-EB4,5226917
Anaerobacillus isosaccharinicus,5227144
Bacillus anthracis str. Ames,5227293
Pectobacterium parmentieri,5227302
Chryseobacterium sp. JV274,5227721
Terriglobus roseus DSM 18391,5227858
Arthrobacter sp. K5,5227875
Escherichia fergusonii,5228048
Sphingomonas hengshuiensis,5228389
Salmonella enterica subsp. enterica serovar Weltevreden,5228621
Pseudomonas sp. LPH1,5229495
Priestia megaterium Q3,5229799
Pseudomonas sp. REB1044,5229940
Escherichia coli O7:H15,5229956
Escherichia coli O139:H1,5230054
Glaciimonas sp. PAMC28666,5230360
Bacillus sp. HBCD-sjtu,5230501
Fimbriimonas ginsengisoli Gsoil 348,5231762
Burkholderia mallei SAVP1,5232401
Hydrogenophaga sp. PBC,5232477
Vibrio parahaemolyticus UCM-V493,5232572
Xanthomonas sp. GW,5233349
Methylomonas sp. LW13,5233523
Brucella anthropi,5233853
Enterobacter sp. RHBSTW-00422,5234715
Photobacterium damselae subsp. damselae,5235337
Pseudomonas toyotomiensis,5235458
Paracoccus denitrificans PD1222,5236194
Pseudomonas anguilliseptica,5238386
Xanthomonas sp. CFBP 8443,5238480
Xanthomonas oryzae pv. oryzae PXO99A,5238555
Citrobacter sp. RHBSTW-00599,5238808
Mycobacterium shigaense,5239765
Salmonella sp. SA17155,5240192
Vibrio sp. SCSIO 43097,5240591
Geomonas paludis,5241294
Roseomonas mucosa,5241361
Bacteroides fragilis NCTC 9343,5241700
Clostridium felsineum DSM 794,5242194
Paracoccus denitrificans,5242327
Escherichia coli CFT073,5242376
Escherichia coli O18:H1,5242835
Pantoea dispersa,5243456
Chelatococcus sp. CO-6,5243734
Actinopolyspora erythraea,5243930
Serratia marcescens WW4,5244703
Xanthomonas sp. SI,5246417
Klebsiella sp. WP4-W18-ESBL-05,5247263
Nocardioides aromaticivorans,5247736
Geothrix sp. 21YS21S-2,5248135
Dickeya solani,5248586
Shinella sp. XGS7,5248830
Escherichia coli O139:H28 str. E24377A,5249288
Iamia sp. SCSIO 61187,5249614
Lysinibacillus pakistanensis,5249694
Tumebacillus avium,5249768
Serratia sp. FS14,5249875
Enterobacter sp. JH25,5250246
Salmonella sp. SSDFZ54,5250803
Shewanella sp. ANA-3,5251146
Dyella sp. BiH032,5251998
Hymenobacter swuensis DY53,5252070
Pararhizobium sp. IMCC21322,5252332
Citrobacter werkmanii,5253470
Vibrio sp. STUT-A11,5253949
Escherichia coli O6:K2:H1,5254143
Phyllobacterium sp. 628,5254435
Xanthomonas arboricola,5254865
Enterobacter sp. BWH 37,5255410
Klebsiella pneumoniae U-0608239,5255994
Escherichia coli O25:H4,5256311
Serratia nematodiphila,5256558
Azoarcus sp. CIB,5257030
Cellvibrio sp. PSBB006,5257074
Mycobacteroides abscessus UC22,5257136
Chloroflexus aurantiacus J-10-fl,5258541
Geomonas sp. RF6,5258610
Pseudomonas bubulae,5258720
Rhodococcus sp. GA1,5258851
Salipiger abyssi,5259072
Vibrio vulnificus YJ016,5260086
Dickeya fangzhongdai,5260352
Paenibacillus kyungheensis,5260882
Serratia ureilytica,5260980
Xanthomonas campestris pv. campestris str. CN18,5261244
Vibrio tubiashii,5261336
Escherichia coli O43 str. RM10042,5261709
Salmonella enterica subsp. enterica serovar Senftenberg,5262033
Bacillus sp. 41-22,5262101
Clostridium cellulovorans 743B,5262222
Vibrio alfacsensis,5263018
Xanthomonas citri pv. punicae,5263334
Bordetella bronchiseptica 253,5264383
Bacillus sp. CRB-7,5264724
Labilibaculum manganireducens,5266404
Shewanella sp. WE21,5266746
Salmonella enterica subsp. enterica serovar Cubana str. CFSAN002050,5267011
Salmonella enterica subsp. enterica serovar Muenchen,5267751
Salmonella enterica subsp. enterica serovar Macclesfield str. S-1643,5268613
Mycolicibacterium hassiacum DSM 44199,5269097
Citrobacter koseri,5270494
Mycobacteroides abscessus subsp. bolletii 50594,5270527
Paenibacillus sabinae T27,5270569
uncultured Rhodoferax sp.,5270808
Serratia odorifera,5272556
Xanthomonas arboricola pv. juglandis,5272621
Xanthomonas citri subsp. citri A306,5274168
Sphingomonas sp. AP4-R1,5274170
Xanthomonas citri pv. citri str. 306,5274174
Escherichia coli O15:H12,5274628
Escherichia coli O89m:H10,5274803
Salmonella enterica subsp. enterica serovar Senftenberg str. CFSAN004025,5275193
Sphingobacterium spiritivorum,5275260
Heyndrickxia sp. FSL K6-6286,5276023
Chryseobacterium sp. G0162,5276141
Xanthomonas citri pv. mangiferaeindicae,5276340
Pseudomonas sp. HLS-6,5276694
Vibrio furnissii,5277741
Anaeromyxobacter sp. Fw109-5,5277990
Escherichia coli O1:H42,5278774
Desulfitobacterium hafniense DCB-2,5279134
Pantoea ananatis,5279242
Hymenobacter aerilatus,5279535
Escherichia coli M8,5279597
Aeromonas hydrophila NJ-35,5279644
Xanthomonas citri pv. aurantifolii,5279677
"Salmonella enterica subsp. enterica serovar Typhimurium var. monophasic 4,5,12:i:-",5279746
Arthrobacter sp. NtRootA1,5279883
Chitinophaga caeni,5279921
Klebsiella aerogenes KCTC 2190,5280350
Bacillus sp. NP247,5280486
Mycobacteroides chelonae,5281102
Vibrio fortis,5281637
Pseudomonas sp. MM211,5281862
Streptomyces sp. HSG2,5282528
Serratia liquefaciens ATCC 27592,5282719
Xanthomonas hydrangeae,5283403
Escherichia coli TW11681,5283837
Escherichia coli O111 str. RM9322,5284381
Vibrio cyclitrophicus ZF270,5284523
Lysinibacillus agricola,5285903
Alicyclobacillus sp. SO9,5286134
Buttiauxella ferragutiae,5286310
Bordetella petrii,5287950
Shewanella decolorationis,5288357
Bacillus cereus F837/76,5288498
Paenibacillus lentus,5288676
Cohnella candidum,5289049
Paenibacillus woosongensis,5289572
Xanthomonas campestris pv. campestris,5289785
Gordonia bronchialis DSM 43247,5290012
Enterobacter cloacae complex sp.,5290194
Sagittula stellata E-37,5290610
Thauera sp. K11,5291530
Niallia taxi,5292036
Azotobacter salinestris,5292366
Chitinimonas arctica,5292479
Pseudoalteromonas sp. KG3,5292698
Escherichia coli O18ac:H14,5293395
Alicyclobacillus mengziensis,5293537
Nocardioides sp. JS614,5293685
Xanthomonas arboricola pv. corylina,5294219
Neobacillus sp. FSL H8-0543,5295870
Xanthomonas axonopodis Xac29-1,5296525
Citrobacter sp. S39,5296547
Alloyangia pacifica,5297488
Citrobacter cronae,5297769
Pseudomonas sp. THAF42,5298227
Bacillus sp. CMF12,5298346
Comamonas resistens,5298694
Pseudomonas sp. THAF187a,5298761
Agarivorans sp. B2Z047,5298843
Arthrobacter sp. StoSoilB5,5299525
[Clostridium] symbiosum,5299950
Xanthomonas dyei,5300006
Shewanella xiamenensis,5300429
Mucilaginibacter xinganensis,5301339
Salmonella enterica subsp. enterica serovar Agona,5303244
Mycobacterium decipiens,5303299
Gordonia sp. Swx-4,5303410
Xanthomonas citri pv. glycines CFBP 2526,5304469
Salmonella enterica subsp. diarizonae,5304916
Enterobacter sp. MGH 7,5305481
Anabaena sp. 90,5305675
Salmonella enterica subsp. enterica,5305908
Gordonia pseudamarae,5306277
Chryseobacterium sp. WX,5306780
Pseudomonas kulmbachensis,5307097
Gordonia bronchialis,5307108
Escherichia coli O178:H19,5307783
Chromobacterium haemolyticum,5307994
Cohaesibacter marisflavi,5308024
Leptospira interrogans serovar Canicola,5308174
Escherichia coli JJ1886,5308284
Paraglaciecola sp. L3A3,5308776
Citrobacter sp. RHBSTW-00229,5309420
Vibrio tritonius,5309703
Photobacterium sp. GJ3,5310201
Phocaeicola dorei CL03T12C01,5310365
Ralstonia wenshanensis,5310536
Bacteroides fragilis YCH46,5310990
Marinagarivorans cellulosilyticus,5311067
Shigella flexneri,5311318
Aeromonas media,5311816
Mycobacteroides abscessus subsp. bolletii,5312857
Enterobacter hormaechei subsp. steigerwaltii,5312895
Shewanella baltica OS185,5312910
Bacillus thuringiensis str. Al Hakam,5313030
Novosphingobium sp. PP1Y,5313905
Pseudomonas psychrophila,5313922
Priestia filamentosa,5313985
Pantoea stewartii subsp. stewartii DC283,5314092
Priestia sp. J2,5314100
Salmonella enterica subsp. enterica serovar Minnesota,5314723
Chryseobacterium indologenes,5314748
Pantoea sp. JZ2,5314755
[Bacillus thuringiensis] serovar konkukian str. 97-27,5314794
Bacillus luti,5315231
Solidesulfovibrio magneticus RS-1,5315620
Sporomusa termitida,5316008
Citrobacter sp. C1,5318010
Escherichia coli APEC O2-211,5318341
Mycobacterium cookii,5318517
Chryseobacterium bernardetii,5318634
Flavobacterium marginilacus,5319561
Methylobacterium organophilum,5319780
Mycobacterium malmoense,5319859
Shigella boydii,5320147
Bacteroides zhangwenhongii,5320612
Luteolibacter ambystomatis,5321988
Geodermatophilus obscurus DSM 43160,5322497
Sphingomonas panacis,5322941
Okeanomitos corallinicola TIOX110,5323117
Azotobacter vinelandii CA6,5323210
Paucibacter sediminis,5324202
Flavobacterium johnsoniae,5324536
Aquibium oceanicum,5324561
Serratia sarumanii,5325176
Escherichia coli ETEC H10407,5325888
Serratia marcescens SM39,5326023
Salmonella enterica subsp. enterica serovar Concord,5326347
Salinirubellus sp. SYNS196,5327573
Escherichia coli O121,5327614
Metabacillus litoralis,5327848
Sphingobacterium sp. ML3W,5329010
Shewanella sp. KX20019,5329217
Klebsiella pneumoniae HK787,5329385
Xanthomonas citri pv. phaseoli var. fuscans,5329619
Brenneria izadpanahii,5330697
Xanthomonas sp. ISO98C4,5330867
Mycobacteroides abscessus,5331134
Antarctobacter heliothermus,5331190
Paenarthrobacter sp. YJN-5,5331418
Escherichia coli JJ1887,5331521
Rhodopseudomonas palustris HaA2,5331656
Streptomyces sp. MRC013,5331980
Gordonia rubripertincta,5332073
Escherichia coli O2:K1:H7,5333679
Chromobacterium rhizoryzae,5334040
Enterobacter hormaechei subsp. hoffmannii,5334198
Shinella oryzae,5335236
Natrinema zhouii,5336312
Agrobacterium sp. 33MFTa1.1,5337328
Bacillus sp. SI2,5337448
Escherichia coli O78:H51,5337498
Escherichia coli O80:H26,5338095
Gordonia sp. JH63,5338743
Bordetella bronchiseptica RB50,5339179
Bordetella bronchiseptica,5339230
Pseudomonas sp. ML2-2023-6,5339950
Pseudomonas alcaliphila JAB1,5340293
Citrobacter freundii complex sp. CFNIH2,5340584
Candidatus Protofrankia datiscae,5340989
Klebsiella pneumoniae subsp. pneumoniae 1158,5341039
Rhodococcus sp. B7740,5341557
Xanthomonas phaseoli pv. phaseoli,5341746
Pseudomonas fragi,5342544
Shewanella baltica OS155,5342896
Klebsiella sp. WP7-S18-CRE-02,5343134
Shigella sonnei,5344107
Pseudomonas sp. NEEL19,5344505
Mucilaginibacter sp. CSA2-8R,5344524
Citrobacter sp. 21OH12SH02A-Citro,5344935
Kosakonia sp. ML.JS2a,5345276
Lysinibacillus capsici,5345379
Pseudoalteromonas sp. A22,5346284
Xanthomonas perforans,5346417
Escherichia albertii,5346483
"Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:-",5346495
Massilia litorea,5347093
Massilia sp. Dwa41.01b,5348477
Enterobacter bugandensis,5348661
Leptodesmis sichuanensis A121,5348817
Teredinibacter turnerae,5348823
Citrobacter sp. BDA59-3,5349552
Mycolicibacterium phlei,5349645
Leptospira interrogans serovar Bataviae,5349767
Xanthomonas vesicatoria ATCC 35937,5349905
Klebsiella sp. WP7-S18-CRE-03,5350126
Brevibacillus sp. 7WMA2,5351077
Pseudomonas sp. IT1137,5351178
Flavobacterium sp. GSB-24,5351204
Massilia sp. Se16.2.3,5351291
Citrobacter sp. RHBSTW-00628,5351462
Paracidovorax citrulli,5351555
Kaistia sp. 32K,5352285
Paracidovorax citrulli AAC00-1,5352772
Mucilaginibacter ginsenosidivorans,5352833
Cytobacillus firmus,5353076
Salmonella enterica subsp. enterica serovar Heidelberg,5353174
Salinarimonas sp.,5353493
Escherichia coli O112ab:H8,5353630
Paenibacillus sp. KACC 21273,5354372
Sphingobacterium sp. R2,5354636
Rhizobium sp. WL3,5354836
Escherichia coli 042,5355323
Sphingobacterium faecium,5355339
Dyella terrae,5355565
Lysobacter firmicutimachus,5355594
Ralstonia pickettii,5356255
Flavobacterium luteolum,5356995
Bacillus sp. RZ2MS9,5357194
Aminobacter niigataensis,5357197
Chryseobacterium capnotolerans,5357258
Xanthomonas citri pv. fuscans,5357613
Shewanella baltica OS223,5358884
Pseudoalteromonas rhizosphaerae,5358982
Salmonella enterica subsp. enterica serovar Corvallis,5359100
Erwinia rhapontici,5359651
Escherichia coli O78,5360188
Citrobacter sp. RHBSTW-00667,5360557
Brenneria goodwinii,5360730
Pseudomonas saxonica,5362120
Klebsiella pneumoniae subsp. pneumoniae ATCC 43816,5362708
Citrobacter sp. RHBSTW-00986,5363930
Pseudomonas oryzihabitans,5364174
Sinomicrobium kalidii,5364211
Aeromonas hydrophila subsp. hydrophila,5365058
Polaromonas hydrogenivorans,5365325
Rhodococcus sp. D-6,5365538
Escherichia coli O1:K1:H7,5365908
Shigella dysenteriae,5366058
Polaromonas naphthalenivorans CJ2,5366143
Vibrio sp. SCSIO 43009,5366162
Azotobacter vinelandii CA,5366370
Hymenobacter sp. PAMC 26628,5366977
Aeromonas caviae,5367472
Salmonella enterica subsp. enterica serovar Typhimurium,5367509
Vibrio aerogenes,5368019
Shewanella baltica OS678,5368767
Azorhizobium caulinodans ORS 571,5369772
Citrobacter sp. Y3,5370159
Citrobacter arsenatis,5370228
Kluyvera ascorbata,5371308
Klebsiella pneumoniae RYC492,5371971
Erwinia billingiae Eb661,5372268
Pseudomonas mendocina S5.2,5372474
Parabacteroides sp. CT06,5372666
Bacteroides fragilis 638R,5373121
Colwellia psychrerythraea 34H,5373180
Solimonas sp. K1W22B-7,5373342
Pedobacter ginsengisoli,5373360
Citrobacter sp. RHBSTW-00976,5373738
Citrobacter sp. RHBSTW-00107,5374500
Pseudomonas sp. Rh2,5374642
Indioceanicola profundi,5374982
Vibrio sp. SCSIO 43153,5375031
Allorhizobium pseudoryzae,5375550
Klebsiella pneumoniae KP-1,5375667
Paenibacillus sp. 32O-W,5375858
Serratia quinivorans,5376744
Bernardetia sp. ABR2-2B,5376891
Klebsiella sp. WP7-S18-ESBL-04,5377246
Flavobacterium anhuiense,5377387
Microbulbifer sp. TB1203,5377578
Pseudoalteromonas sp. NC201,5378320
Azotobacter vinelandii DJ,5378652
Escherichia coli O7:K1 str. CE10,5378729
Azotobacter sp. NL3,5378928
Pseudomonas sp. S07E 245,5379044
Microbulbifer sp. RZ01,5379113
Arcticibacterium luteifluviistationis,5379839
Pelosinus fermentans JBW45,5380816
Bordetella genomosp. 13,5380929
Heyndrickxia oleronia,5381128
Citrobacter rodentium NBRC 105723 = DSM 16636,5381137
Phocaeicola vulgatus,5383987
Coraliomargarita algicola,5384071
Pseudomonas khazarica,5384159
Escherichia coli O6:H16,5384245
Paracidovorax avenae,5384305
Escherichia sp. SCLE84,5384463
Serratia inhibens,5386202
Nodularia spumigena UHCC 0039,5386612
Klebsiella pneumoniae subsp. pneumoniae 1084,5386705
Vibrio fluvialis,5386988
Pseudomonas sp. B11D7D,5387171
Massilia endophytica,5387550
Bacillus cereus group sp. MS39,5387978
Hymenobacter sp. NBH84,5388077
Gordonia mangrovi,5388218
Serratia sp. SSNIH1,5388594
Enterobacter cloacae complex sp. ECNIH7,5388828
"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",5389029
Enterobacter hormaechei subsp. xiangfangensis,5389653
Escherichia coli O104:H4 str. 2009EL-2071,5389708
Leclercia sp. LSNIH3,5389886
Xanthomonas citri pv. glycines str. 8ra,5390771
Citrobacter sp. RHBSTW-00127,5391037
Xanthobacter sp. YC-JY1,5392410
Pseudomonas anuradhapurensis,5393636
Xanthomonas vesicatoria,5393910
Niallia sp. RD1,5394080
Methylomonas sp. AM2-LC,5394081
Gordonia amarae,5395088
Hymenobacter sp. 5317J-9,5396006
Shewanella piezotolerans WP3,5396476
Chromobacterium sp. Beijing,5396718
Raoultella ornithinolytica B6,5398151
Xanthomonas citri subsp. citri Aw12879,5398685
Niallia circulans,5398834
Nocardioides sp. LMS-CY,5399158
Azoarcus sp. DD4,5400077
Brevibacillus laterosporus DSM 25,5400144
Klebsiella sp. KP20-425-1,5401251
Mycobacterium intracellulare ATCC 13950,5402402
Escherichia coli O126:H45,5402822
Serratia plymuthica 4Rx13,5403731
Citrobacter sp. RHB35-C21,5404783
Brevibacillus sp. FSL L8-0520,5405447
Marinobacter nanhaiticus D15-8W,5406315
Citrobacter sp. MGH103,5406561
Shewanella baltica,5406724
Aromatoleum petrolei,5407396
Flavobacterium sp. N502540,5409051
Bacillus anthracis str. Sterne,5409120
Pseudomonas sp. ML2-2023-3,5409590
